InventoryID,Glottocode,ISO6393,GlottologName,PhoibleName,SpecificDialect,Source,family_id,level,status,latitude,longitude,country_ids,macroarea,Uvulars,Marginal_Uvular,Ejectives,Marginal_Ejective
2489,kham1282,khg,Khams Tibetan,Nangchenpa Tibetan,NA,ea,sino1245,language,safe,31.9313,91.7062,CN IN MM,Eurasia,NA,NA,9,NA
2490,veps1250,vep,Veps,Veps,Veps (Šimozero),ea,ural1272,language,severely endangered,60.3353,34.7865,RU,Eurasia,NA,NA,NA,NA
2491,merg1238,tvn,Myeik,Myeik Burmese,NA,ea,sino1245,dialect,safe,NA,NA,,Eurasia,NA,NA,NA,NA
2492,nort2741,tts,Northeastern Thai,Northeastern Thai,Northeastern Thai (Nakhon Phanom),ea,taik1256,language,safe,14.3253,102.986,KH LA TH,NA,NA,NA,NA,NA
2493,stan1325,lvs,Standard Latvian,Latvian,Latvian (Standard),ea,indo1319,dialect,safe,57,24,LV,Eurasia,NA,NA,NA,NA
2494,ters1235,sjt,Ter Saami,Ter Saami,NA,ea,ural1272,language,severely endangered,67.2458,38.506100000000004,RU,Eurasia,NA,NA,NA,NA
2495,oriy1255,ory,Odia,Oriya,NA,ea,indo1319,language,safe,21,85,IN,Eurasia,NA,NA,NA,NA
2496,nort2741,tts,Northeastern Thai,Northeastern Thai,Northeastern Thai (Ubon),ea,taik1256,language,safe,14.3253,102.986,KH LA TH,NA,NA,NA,NA,NA
2497,pite1240,sje,Pite Saami,Pite Saami,NA,ea,ural1272,language,critically endangered,66.4011,17.4261,NO SE,Eurasia,NA,NA,NA,NA
2498,east2304,bgp,Eastern Balochi,Eastern Hill Balochi,NA,ea,indo1319,language,safe,28,62,PK,Eurasia,NA,NA,NA,NA
2499,serb1264,srp,Serbian,Serbian,Serbian (Standard Ekavian),ea,indo1319,dialect,vulnerable,44.3238,21.9192,AL BA BG HR HU ME MK RO RS,NA,NA,NA,NA,NA
2500,bash1264,bak,Bashkir,Bashkir,Bashkir (Standard),ea,turk1311,language,vulnerable,53.5967,56.5594,KZ RU UA,Eurasia,2,NA,NA,NA
2501,tuuu1240,mjg,Tu,Mongghul,Mongghul (Huzhu Monguor),ea,mong1329,language,vulnerable,36.8177,102.117,CN,Eurasia,1,NA,NA,NA
2502,shum1243,scu,Shumcho,Labrang Tibetan,NA,ea,sino1245,language,definitely endangered,31.6862,78.3865,IN,Eurasia,NA,NA,NA,NA
2503,ukra1253,ukr,Ukrainian,Ukrainian,Ukrainian (Standard),ea,indo1319,language,vulnerable,48.175842,24.395786,BY HU MD PL RO RU SK UA,NA,NA,NA,NA,NA
2504,lowa1242,loy,Lowa,South Mustang Tibetan,South Mustang Tibetan (Jharkhot),ea,sino1245,language,definitely endangered,29.0324,83.8959,NP,Eurasia,NA,NA,NA,NA
2505,scot1243,sco,Scots,Scots,Scots (Northern),ea,indo1319,language,vulnerable,55.886945,-3.710133,GB,Eurasia,NA,NA,NA,NA
2506,east2328,mhr,Eastern Mari,Meadow Mari,Meadow Mari (Joškar-Ola),ea,ural1272,language,vulnerable,55.8307,48.405,KZ RU,Eurasia,NA,NA,NA,NA
2507,shan1277,shn,Shan,Shan,Shan (Zhe Fang),ea,taik1256,language,safe,21.5995,98.0342,CN MM TH,Eurasia,NA,NA,NA,NA
2508,sind1272,snd,Sindhi,Sindhi,Sindhi (Jacobabad),ea,indo1319,language,safe,26,69,IN PK,Eurasia,NA,NA,NA,NA
2509,osse1243,oss,Ossetian,Iron Ossetic,Iron Ossetic (Tual-Sh),ea,indo1319,language,vulnerable,41.7882,43.2674,AZ GE RU TR,NA,6,NA,5,NA
2510,mehr1241,gdq,Mehri,Mehri,Mehri (Oman),ea,afro1255,language,safe,21.4268,51.1512,KW OM YE,NA,NA,NA,6,NA
2511,khar1287,khr,Kharia,Kharia,Kharia (Dudh),ea,aust1305,language,vulnerable,22.3571,84.3922,IN NP,Eurasia,NA,NA,NA,NA
2512,chec1245,che,Chechen,Chechen,Chechen (Şaroy),ea,nakh1245,language,vulnerable,43.5,45.5,GE KZ RU,Eurasia,4,NA,6,NA
2513,taga1270,tgl,Tagalog,Tagalog,NA,ea,aust1307,language,safe,14.06,121.747,PH,Papunesia,NA,NA,NA,NA
2514,wakh1245,wbl,Wakhi,Wakhi,NA,ea,indo1319,language,vulnerable,37.1768,73.9777,AF CN PK TJ,Eurasia,3,NA,NA,NA
2515,stan1293,eng,English,English,English (Liverpool),ea,indo1319,language,safe,53,-1,AU BM BR BZ CA CK CU DO FK GB GI GP GT GY HN IE KY LR MX NF PN SH SR US VE ZA,Eurasia,NA,NA,NA,NA
2516,astu1245,ast,Asturian-Leonese-Cantabrian,Asturian,Asturian (Western),ea,indo1319,language,safe,42.4181,-6.02227,ES PT,Eurasia,NA,NA,NA,NA
2517,phut1244,pht,Phu Thai,Phu Tai,Phu Tai (Waritchaphum),ea,taik1256,language,safe,17.7544966667,104.684233333,LA TH VN,Eurasia,NA,NA,NA,NA
2518,nort2740,nod,Northern Thai,Northern Thai,Northern Thai (Chieng Mai),ea,taik1256,language,safe,18.857495,100.20739,LA MM TH,Eurasia,NA,NA,NA,NA
2519,kham1282,khg,Khams Tibetan,Soghpo Tibetan,NA,ea,sino1245,language,safe,31.9313,91.7062,CN IN MM,Eurasia,NA,NA,NA,NA
2520,west2369,pes,Western Farsi,Farsi,NA,ea,indo1319,language,safe,28.659300000000002,55.1586,AF AZ IQ IR TM TR,NA,2,NA,NA,NA
2521,iris1253,gle,Irish,Irish,Irish (Corca Dhuibhne),ea,indo1319,language,definitely endangered,53.2186,-7.61509,GB IE,Eurasia,NA,NA,NA,NA
