InventoryID,Glottocode,ISO6393,LanguageName,SpecificDialect,GlyphID,Phoneme,Allophones,Marginal,SegmentClass,Source,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,raisedLarynxEjective,loweredLarynxImplosive,click,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids,glottocode,isocodes,macroarea
552,soma1255,som,SOMALI,NA,0262,ɢ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-,afro1255,east2653,Somali,False,language,safe,4.778704,45.152856,som,NA,NA,0,0,5,DJ ET KE SO,soma1255,som,Africa
560,suii1243,swi,SUI,NA,0071,q,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,taik1256,maon1239,Sui,False,language,safe,24.0488,106.563,swi,NA,NA,0,0,3,CN VN,suii1243,swi,Eurasia
560,suii1243,swi,SUI,NA,0071+02B0,qʰ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,+,-,-,-,-,-,taik1256,maon1239,Sui,False,language,safe,24.0488,106.563,swi,NA,NA,0,0,3,CN VN,suii1243,swi,Eurasia
560,suii1243,swi,SUI,NA,0281,ʁ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-,taik1256,maon1239,Sui,False,language,safe,24.0488,106.563,swi,NA,NA,0,0,3,CN VN,suii1243,swi,Eurasia
562,atay1247,tay,ATAYAL,NA,0071,q,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,aust1307,atay1246,Atayal,False,language,vulnerable,24.5209,121.388,tay,NA,NA,0,0,2,TW,atay1247,tay,Papunesia
567,tehu1242,teh,TEHUELCHE,NA,0071,q,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,chon1288,cont1245,Tehuelche,False,language,critically endangered,-47.5796,-68.3235,teh,NA,NA,0,0,0,AR,tehu1242,teh,South America
575,taha1241,thv,TAMASHEQ,NA,0071,q,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,afro1255,tuar1240,Tahaggart Tamahaq,False,language,vulnerable,22.5908,8.73169,thv,NA,NA,0,0,2,DZ LY ML NE,taha1241,thv,Africa
575,taha1241,thv,TAMASHEQ,NA,0281,ʁ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,+,-,-,-,-,-,-,-,afro1255,tuar1240,Tahaggart Tamahaq,False,language,vulnerable,22.5908,8.73169,thv,NA,NA,0,0,2,DZ LY ML NE,taha1241,thv,Africa
575,taha1241,thv,TAMASHEQ,NA,03C7,χ,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,afro1255,tuar1240,Tahaggart Tamahaq,False,language,vulnerable,22.5908,8.73169,thv,NA,NA,0,0,2,DZ LY ML NE,taha1241,thv,Africa
579,tlin1245,tli,TLINGIT,NA,0071,q,NA,FALSE,consonant,upsid,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,0,0,-,-,-,-,-,-,-,-,atha1245,atha1245,Tlingit,False,language,critically endangered,59.4447,-135.29,tli,NA,NA,0,0,0,CA US,tlin1245,tli,North America
